,index,plotcode,longitude_generalised,latitude_generalised,surveydate1,surveydate2,wai,sgdd,year1,year2,indexField,0_VHAsc,0_VVAsc,10_VHAsc,10_VVAsc,11_VHAsc,11_VVAsc,1_VHAsc,1_VVAsc,2_VHAsc,2_VVAsc,3_VHAsc,3_VVAsc,4_VHAsc,4_VVAsc,5_VHAsc,5_VVAsc,6_VHAsc,6_VVAsc,7_VHAsc,7_VVAsc,8_VHAsc,8_VVAsc,9_VHAsc,9_VVAsc,0_VHDes,0_VVDes,10_VHDes,10_VVDes,11_VHDes,11_VVDes,1_VHDes,1_VVDes,2_VHDes,2_VVDes,3_VHDes,3_VVDes,4_VHDes,4_VVDes,5_VHDes,5_VVDes,6_VHDes,6_VVDes,7_VHDes,7_VVDes,8_VHDes,8_VVDes,9_VHDes,9_VVDes,10_B1,10_B11,10_B12,10_B2,10_B3,10_B4,10_B5,10_B6,10_B7,10_B8,10_B8A,10_B9,2_B1,2_B11,2_B12,2_B2,2_B3,2_B4,2_B5,2_B6,2_B7,2_B8,2_B8A,2_B9,3_B1,3_B11,3_B12,3_B2,3_B3,3_B4,3_B5,3_B6,3_B7,3_B8,3_B8A,3_B9,4_B1,4_B11,4_B12,4_B2,4_B3,4_B4,4_B5,4_B6,4_B7,4_B8,4_B8A,4_B9,5_B1,5_B11,5_B12,5_B2,5_B3,5_B4,5_B5,5_B6,5_B7,5_B8,5_B8A,5_B9,6_B1,6_B11,6_B12,6_B2,6_B3,6_B4,6_B5,6_B6,6_B7,6_B8,6_B8A,6_B9,7_B1,7_B11,7_B12,7_B2,7_B3,7_B4,7_B5,7_B6,7_B7,7_B8,7_B8A,7_B9,8_B1,8_B11,8_B12,8_B2,8_B3,8_B4,8_B5,8_B6,8_B7,8_B8,8_B8A,8_B9,9_B1,9_B11,9_B12,9_B2,9_B3,9_B4,9_B5,9_B6,9_B7,9_B8,9_B8A,9_B9,0_B1,0_B11,0_B12,0_B2,0_B3,0_B4,0_B5,0_B6,0_B7,0_B8,0_B8A,0_B9,11_B1,11_B11,11_B12,11_B2,11_B3,11_B4,11_B5,11_B6,11_B7,11_B8,11_B8A,11_B9,1_B1,1_B11,1_B12,1_B2,1_B3,1_B4,1_B5,1_B6,1_B7,1_B8,1_B8A,1_B9
0,0,1013901,24.1602326383978,67.0164661885414,1986-09-11,1995-08-02,0.183627785414202,738.609166666667,1986,1995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3054.264110278431,838.7892128439363,763.9546742519557,3760.3688419670707,3916.2683441824834,4046.51132870193,4332.576062578633,4535.6795361304075,4451.126667031344,4520.960778950823,4475.180985722877,4283.87098079974,3919.9852123333853,679.3687252703171,560.5945334864974,4544.50487755958,4520.648633371625,4675.249931622995,4928.468719800153,4947.2209580074,4793.381434276024,5080.110004923142,4663.591379027404,4716.860401509763,475.4004909468846,1726.7814807723864,1050.5797549368197,561.0641171161315,749.604206553252,791.2649950768557,1216.413995405065,1776.9225698812972,1931.6069211202885,2075.1393454953222,2155.5550845139755,2186.30458536185,105.68169137355721,1859.6537388545482,965.2228269788303,221.94852579180565,533.6350856080085,406.98930583666106,1081.1231606586073,2283.266013894207,2580.640774574694,2806.518790000547,2881.929735791258,2882.2536239811825,202.39439358300453,1717.2677295353842,851.6195951086821,254.17968481931052,470.43917430417076,333.5539531853736,843.570547662501,2109.242651336956,2427.4585884002777,2537.967775783103,2701.4904396517,2739.756652460826,189.25440621410215,1573.1062195722327,767.9856134784748,335.2399759312947,537.2768557518735,426.5559105081779,914.5713473004755,2038.6030851703956,2355.0139598490236,2498.730277337125,2650.6591105519383,2670.642448443738,140.1993934200049,1207.9240559415048,629.7922737025084,244.3222106741059,391.2211768138139,403.4875979310637,775.3956323809169,1330.3482547149745,1503.495833561256,1724.6825665992012,1753.6696630989054,1874.1123753259287,1221.3912258629173,435.05760078770305,312.5914337290081,1257.5093813248732,855.1428805864009,633.9234724577431,754.2515179694764,931.7091515781411,948.0206772058418,990.8147803730651,1017.1530550845139,1215.6901154203815,,,,,,,,,,,,,,,,,,,,,,,,,3887.7277501230765,403.7386539758949,410.18268511934065,3699.3944714913487,3105.7212406323506,3005.6826577685383,3231.977444705795,3327.8132122604525,3219.6316394070323,3127.7365753149884,3178.5148879528847,3384.083565815147
1,1,1013903,24.1488494570158,67.0054218254972,1986-09-11,1995-08-02,0.183627785414202,738.609166666667,1986,1995,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.0614339705324,580.4762885468591,455.2503039929895,503.6249986306622,776.689543736649,897.4084022566688,1525.0596593087585,2503.9708276277593,2676.933702141643,2587.3089226050283,2842.585244015994,3326.2057512187102,1469.0840590823618,643.6933961402929,420.55198919136035,747.1016778952363,1065.8040568914205,1232.475434080079,1912.9763561008565,2741.192127220609,2882.7980683208257,2915.1156268828404,2977.7897062314,3799.782932573807,360.7863285315221,1287.5411622939146,684.1601851344691,382.5660979350386,557.1305526647313,481.9322383195485,897.757572437969,1637.8509818151942,1824.3424029139517,1925.2162800569638,1991.05968943419,2122.624712439064,139.49698745686584,1228.5518979021742,612.2912033740481,205.3995179930985,385.0994960836939,292.7097551624035,731.395848167826,1669.4809114312316,1918.9118146464373,2038.155994960838,2144.1913512625288,2224.3136605137747,161.8449088021033,1011.8082927096455,501.03837340928624,186.82109145350634,323.9539263478848,224.47874331306727,560.7036114001935,1404.1035128078731,1639.1820443300292,1671.2780988114152,1818.304997170036,1843.8985914078607,158.24853480856657,1028.8554253163172,490.91169140603614,254.05104891274593,393.0277701703456,302.7166703182341,662.9935778057732,1594.0024921947745,1899.3622720052588,1947.7615982910665,2102.5962918332693,2134.30910061894,151.4101988278468,922.7596842611349,505.72098981821273,169.21311156147115,281.344957489669,225.7716431444865,561.0502212241273,1386.6734646680425,1635.1695909635882,1698.6361699926363,1820.4337757815863,1877.3482012987395,1037.2179985758885,478.68521662923814,245.48638878238478,762.3614504025855,619.962261050556,379.5861861203922,826.8350221832721,1775.087966259517,1906.5378758832233,2015.7940515966488,2024.7834803089224,2100.685709590842,,,,,,,,,,,,,,,,,,,,,,,,,2393.728104288766,378.9099523470447,370.9413010534771,1935.270909788026,1754.4547662083949,1743.8043672746528,2274.4277080936995,3094.7042412955784,3141.582790162677,3054.051560132187,3216.5469135126223,3451.465757426375
2,2,1014301,24.8813102085421,67.0411937799842,1986-09-12,1995-08-11,0.170471289829722,733.673333333333,1986,1995,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863.7826402453297,564.5770150247768,493.15428849757205,2102.3437656870497,2409.393626274223,2513.273149735837,2967.3942425733476,3687.5312647551427,3723.143021157948,3818.9383104457725,3767.943032092285,4053.5511404018916,2598.128902192334,496.5821305560112,362.870974796348,2417.1527322180305,2701.612958558855,2884.049020009841,3480.6727215570504,4053.954287627795,4008.530424799081,4084.599133453611,3940.6120291400152,4283.30037996829,725.1477088654059,1329.2962797212267,771.5949735883636,743.1045070305199,909.1560509852619,904.605937866919,1312.8618826328845,1822.142212016839,1920.2898047699755,2017.7292363405375,2040.1029730989217,2053.617317650369,134.43111366245697,1196.4720627631077,656.6981575638291,235.6247061396316,385.3795309168444,344.6588759499207,713.3064348586737,1330.7689574107483,1486.0110710185334,1653.5143513203216,1677.1841616095346,1718.9035317915918,141.76009184844992,1454.6986889727202,805.2703449784052,237.2342507244001,394.6984834071404,341.73013831939204,704.2712284730195,1383.8902301678427,1581.0055896342462,1682.2512995462257,1770.0622470067256,1800.535592367832,182.5445603614581,1210.8984102251695,655.343204503386,279.9765058147254,445.2431006271624,423.08122749673936,783.8588249880894,1462.2281830642698,1671.1900095284964,1802.978692682584,1852.006262838087,1955.511200863815,81.64680797692218,1089.9198223491462,581.9817203574888,184.13381380106577,289.43360444062813,281.1284656227588,601.4496939992993,1222.5521744863277,1405.312133579034,1560.584128484919,1581.8005480033578,1592.8908013262699,748.8616259362528,518.8248318845335,308.7009184845006,562.2640096222187,469.1617188781369,318.6333169318244,661.6433491881253,1304.0013941282598,1413.5245202558638,1551.875785905637,1492.7893499535292,1798.218140068887,,,,,,,,,,,,,,,,,,,,,,,,,3689.1672748892906,413.33996911049144,441.34722677819707,3407.910427259308,3016.8986523426815,3028.758241758242,3329.9987903887163,3604.3130843037557,3489.9240678475758,3424.071934284621,3396.16166420644,3645.948717948718
3,3,1014302,24.8923257088473,67.051180229725,1986-09-12,1995-08-11,0.170471289829722,733.673333333333,1986,1995,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.2789528337976,602.6851545459516,493.53153274009156,1377.5630977755916,1714.1536218058602,1815.880034978412,2304.6375809248416,3210.346971932806,3324.408894652379,3461.171051389449,3435.4485086974023,3589.7176636010895,1553.0475565861689,587.2009540986422,419.6053529462288,1900.2568805190554,2241.1472528673694,2418.3165312033984,2982.8556672053987,3712.5563050929536,3760.413002912266,3945.9300978302467,3760.7766847024127,3871.343241280771,523.6081762037493,1130.403738317757,633.9612249731287,629.9162376345851,798.454489807072,806.198724745405,1200.9816982747627,1747.4576961614832,1873.3529248875034,1994.3795412727052,2004.4938004408734,1996.86462261573,61.38550490973025,940.0397724581442,505.3442741068667,185.6083738682116,323.67908127015374,291.94407097702725,612.5435754495272,1227.9203858556052,1405.8754367746997,1523.1916261317886,1570.0914239128456,1514.2296842833994,121.7757650933509,1412.9967920614217,716.5927296230553,223.13348826488559,405.0583892346334,313.579066180961,738.448341495755,1740.3582768379713,2030.6413738531626,2158.06985702099,2261.9798208782136,2295.1948406842653,150.08890606578748,845.2555844439763,425.3704510497429,285.1650856112244,433.7894736842104,372.64920869151064,684.7251461988302,1387.2398441586836,1593.2160229233525,1748.251079411926,1745.7873812256498,1709.0347207582818,70.44599725445187,1067.9070242952077,538.196284186736,177.49689920237645,307.9746277917628,274.8370642567569,648.671354031037,1471.3467556558605,1712.819690788268,1878.724069198101,1942.9778137849664,1944.2907934119708,873.671612832705,486.72591135158774,260.5082253921409,845.6892113461223,658.3683937257475,455.61111111111126,835.3443460676616,1530.9145761600269,1637.1223697873977,1798.554626441494,1725.0092091599724,2035.6445318904753,,,,,,,,,,,,,,,,,,,,,,,,,2720.673539378042,334.0023911023666,348.75767202273613,2644.2122547412146,2326.70230775537,2284.343744876211,2647.1071418811835,3108.877705361536,3058.7824575066966,3078.514155326011,3063.6869842050623,3243.3416065475217
4,4,1014701,25.5995313409067,67.031001716209,1986-06-28,1995-08-08,0.223180320844017,690.852083333333,1986,1995,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739.4216977520107,519.1114970190886,476.37059563528953,2149.6413991139293,2392.2141497566035,2481.1192747360933,2932.8286550347316,3658.544779303176,3675.9913088661574,3718.5308647377324,3726.7425696001733,3839.606049335447,2152.1029303177816,609.6316044959798,464.70914237269557,2441.371813980199,2675.2468891866743,2815.959832904883,3246.2924369632974,3814.86376688727,3785.549485861181,3956.061347973525,3722.675531914891,3854.9190162992927,701.4607526760632,1262.5460746241276,705.2016273555308,752.2917882571716,930.4456245113587,906.624266837402,1315.4246600023805,1980.3038084237678,2100.216092738031,2190.685101235156,2232.5577827039574,2229.7425026784736,132.98917026746147,1490.1125362358468,787.6598205983698,233.5933654214297,413.1697205053873,308.2495761089536,771.4137997046432,1787.5180222064207,2044.563009352951,2196.456106765847,2237.6027457200667,2194.720587430946,138.06286904679794,1369.8368239443146,696.0374308278773,187.0892204447466,383.0162517330187,260.94793928310685,688.4843796446684,1767.1527244363374,2034.616788225698,2124.97248572563,2238.5413320523426,2180.2571431289225,193.37531769038628,1251.8059508833328,652.9527612171598,298.7238636985177,457.56476325912934,367.0789038997975,768.2427227479076,1771.3556746704583,2039.4189082754465,2179.0464274644933,2240.1320990355343,2267.1203959962804,131.02684382838072,1053.5737414147409,532.2411139153468,209.22631484360952,325.9805244528483,283.0240074698589,674.4143271266825,1523.7704268602374,1754.9505942288285,1894.7561513037085,1946.4211328244025,1917.376696540893,1372.2773250195978,496.32206603584376,344.2320005834198,1340.62376706959,1127.296924283031,958.4876296741961,1285.7157651005477,1841.2449999088406,1893.1623365968364,1976.1612973800793,1974.54628160951,2116.2000948057375,,,,,,,,,,,,,,,,,,,,,,,,,3987.1907327389745,197.47305329176461,220.43005341938766,3797.3302521468017,3328.705309121405,3304.031468212727,3615.4667906434015,3900.8974912942795,3722.9702729311375,3596.9214844390963,3614.2021276595724,3526.633512005686
5,5,1014702,25.6246834708474,67.0540931449452,1986-06-28,1995-08-08,0.223180320844017,690.852083333333,1986,1995,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1807.3083947583943,622.7093912093911,576.164314314314,2257.7914778414784,2398.2677677677675,2437.6439120939117,2907.402220402221,3631.438233688234,3653.253721903721,3600.899667849666,3694.5333606333616,3666.735585585586,2381.7258394758387,722.2917826917824,588.9200177450175,2942.882261807261,3118.598907998908,3253.82981162981,3702.0024160524154,4171.400614250616,4121.098505323504,4250.970788970789,4043.724836199836,4214.406476931476,803.0120148223087,1426.811960623725,900.5784992211461,982.1320088805381,1150.7399138443257,1165.514771522859,1527.087895248189,2019.866372388429,2113.5902585071694,2177.532977228565,2215.034518074222,2142.157344108815,201.22224952224948,1968.2231231231226,1288.5852852852852,419.18138138138136,589.4695604695603,623.1179088179086,990.1348075348071,1632.6648375648374,1831.3787059787057,1960.8066066066056,2020.018946218946,2047.0946764946757,237.00665683865668,1732.901235053235,1060.2388228228226,331.6050275730275,518.5319443079441,502.05662244062245,877.7921943761942,1632.6849511329506,1853.6546502866502,1910.9461840021838,2049.430783510782,2097.3115697515696,262.0699472199471,1487.4979888979879,886.8475611975608,430.39936299936284,600.3837837837835,592.4334243334239,941.2854672854671,1661.671052871053,1872.5839339339327,1945.77062062062,2072.452493402496,2122.8869505869507,195.7718633243633,1292.3296284596288,772.189065494065,320.37671002171015,434.71683813683796,442.3937016887016,775.0448278473275,1418.5686672711672,1594.2116223041216,1698.0622360997352,1782.3677774852779,1794.341574204075,1828.7191191191187,490.32206752206747,383.6507962507962,1789.0361634361632,1465.3482937482938,1243.459605059605,1515.3638001637996,1817.8380926380921,1811.1889889889887,1817.6936390936382,1791.3006825006814,1960.6784966784965,,,,,,,,,,,,,,,,,,,,,,,,,3623.6071253071245,187.76536536536534,219.7593866593866,3249.1341705341697,2560.4665756665754,2283.37057057057,2589.358695058696,2886.0994903994892,2765.1082173082164,2549.93457093457,2662.274902174901,2668.657521157522
6,6,1014703,25.6161060435421,67.042120414534,1986-06-28,1995-08-08,0.223180320844017,690.852083333333,1986,1995,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175.7240132597494,524.2882265085694,470.32193140629863,1506.4686902355058,1727.1418000837843,1824.0935103728389,2185.875107006905,2795.1718849607487,2861.190836566308,2909.1530927271738,2931.2991776405665,3156.589202775804,1696.7127664764612,708.5320152294566,562.9289344063948,1964.8174914329427,2216.661915430071,2375.010214117885,2774.616704200395,3254.9254597719087,3253.2097143403557,3411.308659948325,3223.360139375677,3579.8825191051233,407.3242138407738,1173.0471251570955,640.5148625758154,485.155056417682,633.6533727665154,616.9737753401452,948.103177421999,1459.94291637069,1571.3111032184038,1659.8206621222885,1697.3547654499757,1752.7284028195184,81.07417627452054,1484.7182394404679,797.5513086716574,226.15105731927213,355.64447297961857,322.52641932134856,692.7326102398778,1391.61537620895,1585.7135402437027,1727.832905305721,1785.872438664554,1815.1242555051635,139.30174580624015,1388.8822491484984,730.017007267362,197.50027548585692,367.1900715807879,299.22218048194094,672.5239945904593,1474.3726913829846,1701.4669439739184,1778.651401107408,1897.1435144709742,1916.924628435604,202.8483962624993,1081.3211846347192,568.1304710125129,301.0331607562428,450.06942926616034,392.9105786569039,716.0939292934813,1421.392806404022,1617.9415605704603,1671.4078533959894,1791.931608928474,1904.208882028305,148.6251181954669,1056.0438508759598,555.0672056366942,197.1477183786471,303.95856790287274,267.486388949602,603.2384303746085,1289.9242541065935,1489.4064655587392,1598.106314090305,1669.326518554802,1680.0103020652011,1529.2404422344857,659.2903666466312,479.7825255450521,1515.5643225324666,1380.0464091215413,1254.1153853159212,1600.999526437536,2131.236653734768,2208.447716882503,2291.6272516984504,2273.652040872085,2506.503196546638,,,,,,,,,,,,,,,,,,,,,,,,,3087.3190991384818,261.20705608072427,279.60253538058015,2916.3993224413966,2599.428756169972,2595.7034770413284,2923.5135238511566,3316.755486949713,3262.439347576635,3183.5991293736224,3223.58545981094,3364.11340910333
7,7,1015901,27.8245883749273,67.0459761992231,1986-09-03,1995-07-29,0.324519689493413,732.42875,1986,1995,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802.254542349727,826.9783606557377,763.2684699453554,2662.464508196722,2821.1485450819673,2832.0061816939888,3286.4085860655737,3799.7379918032784,3790.4300751366122,3807.698599726776,3863.2553961748613,4366.575826502731,3648.869267759562,636.4216612021855,492.3954863387977,3539.904644808744,3800.780786885246,3889.7805464480857,4354.105092896173,4602.578098360657,4448.825704918032,4503.71662295082,4302.6764918032795,4547.413901639339,487.2370960187349,1143.0175644028106,646.6238173302108,539.587088212334,688.6732318501172,665.7868071818884,1032.891295862608,1584.1051288056203,1703.6180952380953,1852.5416003122555,1847.0149726775949,1894.6514676034344,1735.7447540983605,1461.0369945355192,1055.681912568306,1766.2024316939887,1889.75412568306,1817.4258196721314,2232.5774863387974,2904.405218579235,3038.2762841530052,3252.584863387978,3214.4594262295086,3332.943306010929,230.60471086290752,1596.08580165736,838.8497222722627,297.05702846333986,515.6173443223444,363.520091875338,879.0722758662102,2158.3999135290933,2487.182476430675,2637.7156698492768,2743.385204467664,2780.121459797035,108.65529274004682,1145.573138173302,569.6367447306786,195.51755659640907,377.8977283372368,275.897025761124,705.092193598751,1745.002341920375,2010.3712646370036,2148.040023419204,2227.3847697111646,2242.299523809522,177.74743169398906,1127.2597704918023,623.9626120218583,225.00144262295083,332.30490710382503,295.3136502732242,679.4185792349726,1402.0562404371594,1602.5821311475406,1776.5679562841526,1864.9559453551922,1900.3568852459023,568.4284153005464,526.0999453551914,322.828087431694,549.8790163934426,436.2528415300546,276.2966666666667,555.4476502732241,898.4437158469947,985.4251366120217,1069.5489617486337,1109.2253005464481,1304.434590163934,,,,,,,,,,,,,,,,,,,,,,,,,2888.0984562841522,540.9488524590163,507.29416666666657,2542.2813661202185,2173.590109289618,2035.582267759563,2394.599139344262,2758.6390846994536,2738.2727049180326,2660.8127595628425,2755.672978142076,3014.476639344263
8,8,1015902,27.8386170730773,67.0366748913978,1986-09-03,1995-07-29,0.324519689493413,732.42875,1986,1995,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959.2623067256732,617.1968998056528,532.8262970161021,1481.3870559861382,1625.9316271337252,1678.7291232506777,2051.1107937028282,2615.161714316935,2725.7732768242513,2814.6600713388134,2856.293277448662,3572.053402642814,2177.9800797683442,392.8306834945092,253.25505108452182,1586.871846145441,1769.590777468175,1862.3317051849417,2226.847631535814,2577.380593345356,2565.569480413047,2658.9810413593395,2576.666863355735,3085.5829754685033,619.4232639458012,1279.820700743829,705.3179806589083,647.453134146627,810.3588248608739,779.8614200638463,1205.2515512679415,1940.0404539458798,2107.269237673762,2239.6586195861723,2275.4892796653176,2390.556957875759,1311.4214791746351,1420.39787648655,911.1091806443393,1389.7386402957618,1550.8893623996066,1425.2282685898492,1864.5332641279213,2802.393359922782,3011.672895153801,3226.1424538782353,3187.4824345735674,3232.8012711941574,185.2174975218738,1347.8818850929977,645.078901975476,218.9813262462828,405.72674659111317,249.05262603320307,697.5469595148339,2061.055400753974,2420.1625065367903,2529.685992148047,2653.2975975835343,2697.5176707955775,121.11344588318856,1020.1246462328581,490.2141834671914,163.6716385292029,328.64476861716656,206.38459268972298,586.3887231601379,1723.4726110473684,2018.0314702507794,2119.046200076491,2219.897503141562,2256.6216904332614,156.73064524941265,921.9769072465357,465.48046768289345,201.00917882314374,304.8373581744341,279.1696625325539,638.6159190660914,1389.9626563951272,1627.9297200823185,1806.9041322916103,1878.523019905662,1924.0931632337154,531.8051139157516,323.4998087745178,203.00633775883742,528.5118832978201,349.9588045675573,241.33896082609414,432.02950336010497,832.778178440693,898.9116538272413,1050.8377315194232,1039.9256952412172,1205.3845271267007,,,,,,,,,,,,,,,,,,,,,,,,,2682.6710921706826,363.8635196415888,338.03717969731736,2020.5134131016773,1672.1072365186042,1532.929028028192,1763.8244550073766,2119.379883079277,2150.4054526580344,2159.5486122493585,2179.546822925204,2525.8746107195548
9,9,1016301,28.5493797926651,67.022104427528,1986-08-19,1995-07-21,0.416700004145564,681.481666666667,1986,1995,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463.7801604668111,483.132992949185,425.7596036955993,1169.9462679309509,1300.0080233406268,1299.232360807196,1653.170684415267,2350.218265256501,2447.344632871381,2469.6107707269625,2514.2496778507134,2826.554765378065,2027.5327771699463,452.0659190371991,292.9236323851202,1401.6925966447855,1644.3924598832964,1715.3341265499623,2152.754586068564,2747.895331874542,2802.2603756382196,2865.0520058351567,2790.9498632385103,3207.0562910284457,844.8865075023439,1236.4787628946547,791.9647389809307,815.1677946233194,979.5201456184225,969.7630249036154,1371.9217411691147,2035.2482728977807,2160.6260198499535,2250.6663710013545,2257.844170053144,2298.249159893717,55.71375820568925,1245.08397155361,599.698495623632,138.83801969365416,345.3528719912471,211.1318927789933,660.8386487964985,1709.142286652078,1957.6340262582046,2101.291739606126,2139.8223741794295,2138.517177242888,96.1711198812128,1160.483127539856,540.9260901844322,170.08620662707096,346.4577407002185,195.5260901844326,613.802645357924,1708.2766958424504,1991.9097374179428,2099.568751953734,2177.076512191311,2215.9643091591106,60.897472647702465,763.6672538293219,366.07235229759283,185.81335886214424,314.3707768052514,236.20152078774603,516.5328446389499,1268.1774070021881,1451.1634901531727,1544.1923304157535,1576.9800656455147,1615.0499015317268,86.34511761487958,577.9856263676144,281.25237964989043,147.74632111597373,198.2627461706782,133.8763129102844,379.150656455142,969.6938047045946,1115.0725519693653,1220.0832467177236,1234.349822210065,1213.1247264770236,1196.035393873085,349.8753829321662,289.6136214442014,1042.3611597374174,769.3465536105028,563.4172319474836,736.9365426695839,1205.989496717724,1219.7195295404815,1293.5365973741787,1289.794857768052,1278.2478665207866,,,,,,,,,,,,,,,,,,,,,,,,,2807.18685266229,349.2423960612691,336.00273522975925,2329.409700948212,1931.2979941648427,1731.6555616338421,1975.4698942377815,2332.195003646971,2344.195988329685,2271.5345550692923,2277.6742159008013,2247.3741976659367
