,index,plotcode,longitude_generalised,latitude_generalised,surveydate1,surveydate2,wai,sgdd,year1,year2,indexField,0_VHAsc,0_VVAsc,10_VHAsc,10_VVAsc,11_VHAsc,11_VVAsc,1_VHAsc,1_VVAsc,2_VHAsc,2_VVAsc,3_VHAsc,3_VVAsc,4_VHAsc,4_VVAsc,5_VHAsc,5_VVAsc,6_VHAsc,6_VVAsc,7_VHAsc,7_VVAsc,8_VHAsc,8_VVAsc,9_VHAsc,9_VVAsc,0_VHDes,0_VVDes,10_VHDes,10_VVDes,11_VHDes,11_VVDes,1_VHDes,1_VVDes,2_VHDes,2_VVDes,3_VHDes,3_VVDes,4_VHDes,4_VVDes,5_VHDes,5_VVDes,6_VHDes,6_VVDes,7_VHDes,7_VVDes,8_VHDes,8_VVDes,9_VHDes,9_VVDes,0_B1,0_B11,0_B12,0_B2,0_B3,0_B4,0_B5,0_B6,0_B7,0_B8,0_B8A,0_B9,1_B1,1_B11,1_B12,1_B2,1_B3,1_B4,1_B5,1_B6,1_B7,1_B8,1_B8A,1_B9,2_B1,2_B11,2_B12,2_B2,2_B3,2_B4,2_B5,2_B6,2_B7,2_B8,2_B8A,2_B9,3_B1,3_B11,3_B12,3_B2,3_B3,3_B4,3_B5,3_B6,3_B7,3_B8,3_B8A,3_B9,4_B1,4_B11,4_B12,4_B2,4_B3,4_B4,4_B5,4_B6,4_B7,4_B8,4_B8A,4_B9,5_B1,5_B11,5_B12,5_B2,5_B3,5_B4,5_B5,5_B6,5_B7,5_B8,5_B8A,5_B9,6_B1,6_B11,6_B12,6_B2,6_B3,6_B4,6_B5,6_B6,6_B7,6_B8,6_B8A,6_B9,7_B1,7_B11,7_B12,7_B2,7_B3,7_B4,7_B5,7_B6,7_B7,7_B8,7_B8A,7_B9,8_B1,8_B11,8_B12,8_B2,8_B3,8_B4,8_B5,8_B6,8_B7,8_B8,8_B8A,8_B9,9_B1,9_B11,9_B12,9_B2,9_B3,9_B4,9_B5,9_B6,9_B7,9_B8,9_B8A,9_B9,10_B1,10_B11,10_B12,10_B2,10_B3,10_B4,10_B5,10_B6,10_B7,10_B8,10_B8A,10_B9,11_B1,11_B11,11_B12,11_B2,11_B3,11_B4,11_B5,11_B6,11_B7,11_B8,11_B8A,11_B9
0,0,1013901,24.1602326383978,67.0164661885414,1986-09-11,1995-08-02,0.183627785414202,738.609166666667,1986,1995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.5970489266217,46.882462986081066,47.05694182006767,648.4128826628502,564.4896461456739,585.9178320539253,541.9035878189527,524.0484127068695,485.78959450708663,596.5597637805099,459.64188546815865,456.42333618625526,930.0399283074916,52.304940506678896,65.45093393151066,1107.017715073081,1029.0161472824918,1031.92125066973,904.2437251894423,828.0261271352161,769.8685313320082,941.8536329180555,705.2384187979064,758.4270370504144,678.5617595631818,28.70322919200601,18.531248596795074,775.5035196048531,724.4917781704478,696.1662186690552,585.4963064105278,525.8608416789692,461.9643264603123,529.9800704547735,393.89909940646413,466.5224692184872,30.437415457148443,106.82188571582785,65.19382327525885,53.5744126153035,48.956718585407394,48.47564852355033,61.96786821805202,80.95744038022823,99.81463868237321,116.09679995233245,104.74869483043013,66.89508608233066,10.15321482106195,59.43487450182217,40.279230400644906,17.245977339230564,21.482111505487765,25.316829611096917,38.90506324521243,76.29960239414415,83.22447198579428,108.60302661778306,100.89690246980796,99.24513003254187,8.894574328294539,76.0871795101084,37.4405917538718,16.2718850242166,31.205490031600206,24.82481199062965,52.2080132034293,132.75393915247417,149.0781643015071,168.17814866156934,153.75265881815872,176.26194408906193,34.971410497544205,117.8406430939464,47.39352724313926,42.503553107097545,57.64710507490442,37.01359014069565,86.31506152015294,209.2673782450395,226.77020779072464,321.69446999982995,229.90161431407856,243.06147251832405,10.446721986906091,85.31843214507576,47.05679971073106,18.925643822946338,27.56576835139154,36.45924590723387,55.68417341688836,89.89719447097971,102.06874788702015,148.08379327932963,117.89375854470885,116.48870861069913,339.9038933051158,58.98425530689877,48.113870888877805,346.7477089681736,306.22963846509,308.952618641029,330.28800779871005,336.70125419000044,361.9333392492849,406.3290182875499,349.6691019518306,253.8722197739442,250.17219573891714,34.31342304531608,46.022231886323986,251.9139851200125,180.08003292609772,161.51056124461763,194.21066467285533,193.44756512201528,219.0245525483553,261.4548611653673,226.70353853598348,253.42937289796853,,,,,,,,,,,,
1,1,1013903,24.1488494570158,67.0054218254972,1986-09-11,1995-08-02,0.183627785414202,738.609166666667,1986,1995,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.51763911476147,40.62481120685781,30.992426346342672,229.3518817791877,232.4829500899778,258.6259773016847,348.598904110533,409.1565348497642,406.65216558845407,451.7155271554314,415.04797193653457,118.31146208256506,233.08540008514083,43.252042820853546,40.88579047305417,274.34422369417405,313.0640234727723,329.34940146404006,457.0959125991658,472.9340067141246,466.53159315521503,471.391738172885,438.79005835615845,108.29159480458324,265.2240556835388,20.593436811548933,9.236061449903254,330.92999231437665,319.32450913172386,309.39117166062107,474.5587247969626,424.40153012744094,370.7455361798898,288.91465269791587,339.0911533341183,232.61021867345056,34.66004268633289,93.60599346321949,54.876665515169805,71.77627010539999,68.34304705814993,71.44308991076659,107.8020959406491,122.4139521022036,110.70376657343344,106.25962384436409,129.23764868155047,79.72366226052029,6.9633894578077475,97.77646979379051,61.54297399360302,14.522017561303892,21.254835485571036,31.086180912770335,56.57515410510135,75.2949980564352,89.40939872990607,84.781521783444,102.66223030713876,83.82290223026902,1.65056654813815,102.84060211288427,59.61993003458241,14.10188166601983,27.057231673438903,28.390088460042882,59.292884975871345,109.22717191172305,123.91789822406504,132.8252220016334,138.61525113591793,135.51346688784332,65.0472457297969,102.01482407428388,60.677741408387384,66.70617725801249,53.46553889436892,52.045063757056724,80.00476897573603,119.78621094953748,131.64702863629947,151.7002424844379,148.7499214378355,124.27717407725987,2.2086519850645234,64.64652579063296,33.379286793775925,17.83880940613073,32.83518550574163,28.880384706726858,60.0750194548167,110.41189048178647,122.63614504069909,161.83818104823405,135.75550931194374,107.69030640701685,123.70592014210446,38.69133060982935,31.094606071973793,244.2125057647064,277.711650974665,294.1637653571694,318.2920797411715,345.9571035098172,333.793512891191,457.7428002717783,384.52525989884066,124.05344370721745,287.863843182861,132.16081224554364,135.44590504059576,188.2669287265729,145.999535221002,178.15610169868324,121.21396053802215,287.1345757697736,293.47975474993063,495.3109285431609,307.50343756735236,1362.547982208198,,,,,,,,,,,,
2,2,1014301,24.8813102085421,67.0411937799842,1986-09-12,1995-08-11,0.170471289829722,733.673333333333,1986,1995,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.9422366178486,25.85144420412782,21.953680011123833,295.02915471467657,282.6617771107301,308.8147300372857,265.9389057759979,293.0519714755647,262.0946240686743,337.5681483097343,261.957572120584,255.858662941612,430.6416378226194,63.18252153144554,59.73007613727482,466.6404503264097,465.178469389004,487.35070184337417,394.87659940505995,403.41245312077854,407.1199104170832,487.65952384147266,382.28836882847344,365.83270686903217,362.6109962111657,19.619123968850513,13.25296601422404,435.3904872566343,414.31784757613315,386.520881732103,294.3147592129912,253.66217951226855,218.89731328711815,309.6790495833301,198.55378740090225,331.0215919130331,64.25666255568912,124.45165934061129,80.25532128403677,392.45975279201286,360.0927398208395,343.3572208899504,222.9475076645517,207.06107519101937,163.26994229930185,281.6196713668739,146.46746604310533,104.96324583909622,29.771049628784205,88.4274338437497,76.25842574691883,34.94080103302898,43.79438354867107,58.96161060411878,49.39811724313038,85.08884851991064,101.93541569969429,139.36281635576523,99.80435037975674,49.12661323789188,15.861730846281024,87.8482645486041,74.55418667019737,21.256891514699504,25.008010094750198,41.86663872514446,34.084081736671315,65.10486377057283,82.87829090636045,123.9747349703279,85.44692868841464,33.36180912227727,32.684234321559316,107.5836858455587,69.74780981801152,41.598848253435854,47.94805702212715,46.301149363780944,64.37319904147691,129.7367489885111,165.65996748234798,201.76717511282212,172.78851769552688,103.25217710036803,8.133099056690181,61.48090331967227,45.2328165791965,20.90416719859,29.655260544703534,31.884668307385848,38.86924257388652,70.17880326893305,92.57920831124963,150.06255206325704,89.23083734458578,48.00243933376541,237.07967790018932,20.082945989589486,27.298869798732117,209.27589359880244,183.19570781104142,189.45086544986185,177.9829788058253,219.9270680255571,188.4447598265072,317.62955693326523,198.7701836440395,187.99449534748928,117.04556578478504,18.31994315978439,24.922692936226454,133.6426703985471,80.82711892035799,118.24546557444289,100.34436306242868,122.71778318461853,122.82449294491512,311.97460900770494,179.94420431530065,96.85623792184131,,,,,,,,,,,,
3,3,1014302,24.8923257088473,67.051180229725,1986-09-12,1995-08-11,0.170471289829722,733.673333333333,1986,1995,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.17065816551036,56.251115069990234,43.728238087035066,269.4161438890107,284.27360632890094,309.72543673058516,299.50354634719986,393.1807160888671,398.90574189922734,571.8394661424281,422.37117848994757,145.72066729871722,159.36374281051403,55.97895940716009,44.32370557442469,418.3473500153048,413.98623521096425,417.18490448329214,351.1298156052708,374.7319959617703,383.2311305962723,546.6309379031494,374.08530721249554,129.695027942865,158.59019147746744,33.694502099654756,19.81749149616366,651.076664317669,622.9335552833389,589.6028370163535,477.5534085653909,418.6262843803622,366.54519906652683,464.59005241233797,323.7179842379071,78.93558537649126,65.37093761282709,96.11593958142495,69.49116755511484,377.36311578344987,367.31307936332865,382.2307458935438,317.2523104652296,273.9338873974899,266.49863691865556,327.9459960485483,236.28446702275693,70.41295285995542,74.92393882698255,84.75530014932008,56.32217282539055,135.1635974525249,98.44727601064726,86.49760422211371,58.41560272154511,94.0674502347994,112.23394407192372,106.56292342658574,144.46025708983555,54.43715027862376,19.021473430948966,104.83555861577126,82.97353473239696,19.514873649270744,40.20823768098106,47.861277072259675,74.73156892879892,125.52986035146094,132.9743043624672,136.1168633553982,144.36562378920584,84.94754281165102,45.431102927174585,165.14057305941344,97.12336405759883,61.3966485690014,74.38918847309584,59.585848210775595,114.85522408401509,219.83980064540359,264.4057735040332,295.49577284389176,285.04614164529636,218.95800934053696,1.1416782813901605,84.06126401751365,45.044900814342775,18.629347264167787,38.74924727840846,31.14489428172223,64.65779736137866,132.18926753390022,142.31996556346823,189.25044212953804,159.70614407284333,62.59738459944624,79.26424513795527,30.211511099856573,37.42795677300729,278.7103620104758,242.16075438253165,265.09733256600464,282.45004623123225,371.533355699109,362.30867449686843,547.5631489331648,403.86738915072664,84.03860418114706,39.814488269026846,61.18237888910691,66.97107530671215,180.0679283623816,190.08673251323447,262.42513247247683,319.80638140787795,504.375425070988,541.6968736074216,739.4858448300494,638.7545133334479,214.46301138517788,,,,,,,,,,,,
4,4,1014701,25.5995313409067,67.031001716209,1986-06-28,1995-08-08,0.223180320844017,690.852083333333,1986,1995,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.34064604962043,32.2013856507225,26.504990201618238,211.80479871738024,237.45675858549947,300.39911845859376,270.99905319834926,321.3049965006875,317.74437715330816,436.6154710892992,324.6301257003695,99.16895600728846,340.23613925666297,33.86209942733571,30.906864854031074,303.36630507747395,323.5878086185801,342.68821669582405,272.960024045748,292.5794037292139,296.18870023179437,430.0303095185311,280.34228734716686,110.26048230679076,376.35206623799075,14.129873606318013,9.545592986993642,371.50701215267605,363.37473835188524,344.15162348839624,224.14113811987954,196.06297222569754,182.58047756046838,277.78534423535467,152.5632426442234,124.49451945834359,145.8823930040703,22.884457704732156,19.45127167773159,203.46035591644147,190.28910640941706,180.6571731897471,109.34167742230215,76.33398449943067,67.44127924949974,152.6108933337804,70.99942874078343,36.66470714578782,22.959461811631773,24.34443252778299,22.092041931898233,13.958847655538936,18.82356559878318,18.21701297764743,19.618667507080197,94.91201128107564,107.97232244215093,133.5291037173158,110.09577281344303,83.10836417369536,75.48381325495683,84.34791892616624,84.17136829046979,95.40311673044523,80.56324858329067,75.83213080491394,73.84599278655905,97.71372556190312,107.82009788901733,135.02192543400236,103.8178189107519,167.10515333389648,14.58819972321094,23.94924954851092,13.465821445710546,11.360634238026003,20.62594276567337,15.361720431613119,29.913323837367233,85.44610877234777,112.69574137858885,145.23617945762584,111.7872811026633,76.80779662798858,13.875394686255909,39.052162030833315,24.18384553651142,19.235461733627037,18.908228255603298,20.89610407107708,37.003943388864926,79.68022940217679,79.86511567520385,125.29756923346979,84.4421938393595,63.61778529170139,208.64084401697158,28.779133494338094,30.52731538511857,170.46616388717,172.9775199141574,240.7621030734129,212.0526653236217,295.92630749197303,287.49110931474365,424.89897318625015,312.699842263473,82.33587296199455,210.59815162758625,31.455089643329252,25.362548361821013,86.56355528710027,66.83691126785783,86.68608620047455,118.99303276191573,205.34024467401335,258.97457386407893,343.7625043921249,277.14357012298706,82.22943506985007,,,,,,,,,,,,
5,5,1014702,25.6246834708474,67.0540931449452,1986-06-28,1995-08-08,0.223180320844017,690.852083333333,1986,1995,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.38297075615304,38.7924742521098,39.165651001056155,848.9337257027486,658.3970819617206,605.4325720226441,539.0055173512695,510.0299491685853,456.2101581692568,503.8765967424994,422.9732542073941,213.8649657552423,392.56819524241155,52.03165781255956,68.61713667208161,1217.7174911667903,1096.0842332582629,1056.1741657103294,914.8059544176984,835.9037522167017,741.3546739866093,885.094832953353,697.6327333735419,360.4640388549376,474.4623155993879,31.51987757343297,20.187428236996872,1624.4940411988848,1518.5282137785964,1459.2997710222016,1089.4290681128084,958.6278111139654,844.2554072498621,1046.3895195281061,732.0943755833583,419.12059874590557,209.49980077176048,182.50425103198393,158.05180606287024,613.3425720270632,575.447115461818,577.2190997151816,415.7371893816209,331.74894770709,292.8988873041524,396.7381628314207,251.38358138838925,166.81145332341274,29.8228688330377,176.49562509153216,188.27497814170752,131.34002569298036,151.01451757512783,201.53305681123132,135.61102393148505,88.52993167464231,79.04486532698488,124.72397777262263,79.83369064818514,85.12790746498425,29.184501872559547,218.87286313127333,217.78179725497844,123.7101997600058,144.0850770325628,197.46564611690417,152.55960673132245,104.24333676925306,105.58343405021675,130.40956550464495,102.4698224331179,90.38473236741794,25.851904708921463,202.17910604305658,179.4682546467094,104.55032485067089,120.68155530475387,168.8029482675254,126.52311300603527,82.58827381936587,74.49604532550231,120.7385747751967,84.83098946293566,56.831062587667844,25.114729653286325,164.23951171916835,133.63349832068556,87.69812275178944,104.65350216744089,136.6477081263519,120.42009694420098,82.2050102094073,89.80544295956776,144.64107416238517,97.6031120804664,20.22168113529731,242.59267541971712,28.313664628208,31.10076654335263,617.877873440599,436.97048377001437,315.3443819816691,319.9877055526783,293.65817170652514,282.42349784694966,390.40810148376653,270.1778305255897,251.29733252159028,238.2469962505836,43.72771313995665,26.542142899857275,614.7344610759196,395.4573340850785,299.6287717676808,258.2343712197909,297.1192444907124,287.2794858092285,391.10598052965963,302.89688706008394,166.7418035973169,,,,,,,,,,,,
6,6,1014703,25.6161060435421,67.042120414534,1986-06-28,1995-08-08,0.223180320844017,690.852083333333,1986,1995,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.66779660464064,36.72655506011562,36.702790907241045,366.2675388950182,351.8737624867373,385.125835505611,331.24134930572166,346.73179416513125,353.9809248417795,449.429989377689,325.8171903426573,144.8778864910268,150.29186496290728,41.81410101116601,40.22028410795982,503.99896009739507,508.7928746424757,527.8491061176609,397.86662538820724,432.30023713245544,380.06299074803997,563.1836319514338,381.32336410611344,90.42358685833057,181.54275299169768,10.696823365298222,9.988547271798767,551.9761142585411,559.4971459915558,552.3309177365932,416.50096079173505,372.3715264490687,344.78534108104,481.6884271635611,303.51191161459514,103.41323920820311,18.554025946761467,40.28053753984421,38.31905542087779,119.18545287869955,121.37471265479262,130.18054565557955,93.66088879929454,69.02348652014358,79.60928200192782,109.27617423229616,61.33966075734255,24.505652879124593,1.410792361264022,51.46392811052227,29.678469281724542,13.170178512243197,20.541034568555105,23.948214244692288,25.996631251385555,51.70137684614147,64.94811367467565,95.20506123990083,62.22575912750062,39.908927758214965,26.73391242522923,69.5525385484608,42.18724660992533,19.837808455670363,30.344264543116708,29.10408127602619,36.744928890862404,97.57316604828057,117.78496056489179,155.1622381457317,124.08156077901405,83.3922550157831,47.43334088968617,46.737777987284574,36.17048041262738,49.356824056268756,44.214352288649806,39.30882079834734,36.86421046882581,87.7190569820655,94.57224072176416,121.50800237460022,103.46063916630673,127.64887973023667,1.7482131670289225,49.384125824546985,25.156897534932185,16.918705633133246,29.30047473982628,29.216428240865838,39.003066226248514,59.03595577662276,83.77398807945896,123.46315340450205,73.93467694581088,42.90889097396579,101.4133681211149,26.397309632480514,39.766015548459194,241.58522543184137,337.6206672260205,357.79360291187015,280.78214841540586,341.431080170872,332.4206169685212,502.4362815515098,378.31276147731177,134.9155729202359,33.80313740628659,46.41530527990826,30.448660706784086,191.61103160328025,211.914226333356,338.55620366611805,241.87118930629384,265.8545558613578,383.359696796614,551.674586460846,285.71025873811794,92.17066441851378,,,,,,,,,,,,
7,7,1015901,27.8245883749273,67.0459761992231,1986-09-03,1995-07-29,0.324519689493413,732.42875,1986,1995,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.8674792122143,41.38653743199643,28.673247732968505,414.5040157774316,337.9249511683034,306.1199115444005,323.14375107520493,306.351941990017,268.7449768504686,369.90609490902955,266.50890716482917,410.8933698666105,812.3582142541455,29.972500778243635,43.95672219222663,605.4253107042402,552.818112378721,500.2658606847346,516.3810899539226,466.17508377495733,420.8740992682463,480.68175481773704,378.4259737855681,569.835105356856,532.9941070417344,28.781665200075913,9.766825879787442,579.9918922308117,558.2337717943037,521.2220270508802,513.5540378357504,457.6592973796038,389.46276644830493,395.5089474281134,338.41108919868816,346.25844858241186,11.60512828732805,51.211693055956424,39.953383756538805,33.97315399539362,54.426436222769986,68.59605632038213,122.68440064803288,151.65045389975617,155.23023771602578,181.26191643579944,170.09409327152918,162.0364408740151,18.23611030423435,89.66789179170388,68.24400709809225,40.31828329815488,55.154248336842684,82.14453741063504,115.76027047008144,94.17762435061023,107.45802091394302,139.6232114117512,106.50957432106392,112.14219562065767,15.390790655268239,113.47326785692451,74.67238522981174,30.94464343216737,53.335237122115274,57.74776448721032,110.92577762832137,127.4538607756473,147.24077369310726,173.19593980613476,143.7596264500453,144.13647115168553,18.00856141649117,82.87982445107697,63.9405784935485,31.438639784913992,39.859889288681394,49.33465074056952,78.04168962259169,109.34513700190872,117.5220850342666,163.34702704642973,125.63426993741612,134.75377676748624,10.9360874241422,56.30587342480219,35.586360316456194,17.753947877391454,24.737250993002473,24.4929009506485,53.03679853577933,79.06571297398833,81.08806341332671,105.52101520287601,87.84507040407134,113.48196797888275,232.0890649084912,31.12840227505776,22.04388579083892,170.1910987982477,137.8274301271282,120.2612488269504,151.20601705815028,169.79739215037569,168.50800739554253,229.98070362103712,155.68121955014368,213.63721251455206,334.7083861219792,191.14595448689045,130.58591931107193,432.0119894334647,348.3608598928655,409.62157220844097,471.5189564603885,445.50154368352116,472.89938785342184,482.89410578931916,503.44467046089807,517.2536665803009,,,,,,,,,,,,
8,8,1015902,27.8386170730773,67.0366748913978,1986-09-03,1995-07-29,0.324519689493413,732.42875,1986,1995,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255.743370121809,58.236704114107866,40.82380163406519,353.1257336730814,225.3690100871101,184.80525705036123,170.53633478973472,132.6711666661497,159.02373090233382,275.41236370598176,185.7500142008896,583.5361382526207,1391.8872016086937,35.18559859267832,30.41781316389687,363.42472549864607,323.3808752910143,306.2986142278274,324.90134285532054,275.1146962882894,240.07621230972651,254.25590951403163,190.50925571108235,883.9857981345151,920.4376569869903,34.14218658055599,13.227538451480553,456.3379436470985,434.25627260741265,396.5631269600782,489.09331117044485,422.75862278945954,344.0311189369337,259.3535960039885,303.8677071778072,612.538699244528,200.88967434866362,102.71279047721646,96.85643714038805,203.60326282803675,199.44804854939102,209.5498298249722,224.89326445873195,218.7941739744342,200.31831193047594,196.60101937156128,189.45092373097856,192.3626447210886,19.781111091029643,59.38006259440662,43.1073183791151,13.220166154059019,28.979251027205606,31.781791907066257,93.09027524336733,91.36468282703018,106.15663091016664,179.17482552434285,109.24332461505291,82.67185081562029,8.30571877392548,69.63286445881958,45.85005940484973,18.644934292401505,32.64656664672279,23.45734946923226,74.36470154127402,107.62351187862613,134.2224000650877,210.2082100391558,135.59456969205183,136.54782126666373,18.275047409159484,44.18006581243917,29.4293100384132,13.043111242165311,25.045502606679168,13.927445388733805,52.30322725425276,121.17243683834123,152.13656839359473,187.12486733817946,158.3769483186389,134.78598519182196,52.74745192270088,60.521854896378194,30.240238163519184,66.44294981291394,49.154515134033964,39.03410551750204,59.108670287802475,116.22054894233769,148.1757679431083,156.7933671792626,159.77213860936723,185.87298700627682,435.75851275305416,49.597375838383485,36.50818487262515,123.51041974956674,81.3675466157103,68.72860711487576,73.41012453762073,88.66636734280745,99.9004536124138,177.23355908455892,131.25172528383442,213.25263110469584,553.0639894405454,104.07877834795666,80.66608237537987,361.75414522402525,252.73874197328738,263.3893538027969,321.13102269928163,297.2724602957427,292.7705406661447,248.23144324263578,279.9540014099569,335.23051824420025,,,,,,,,,,,,
9,9,1016301,28.5493797926651,67.022104427528,1986-08-19,1995-07-21,0.416700004145564,681.481666666667,1986,1995,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.4875861765518,49.4873872718671,36.87673452394246,193.05695984171285,148.50051721739868,161.43114952981028,207.35256636776955,378.94885051041706,393.88462659341656,475.6775335273327,426.9541968343569,276.856479288023,246.2201054539458,60.612737013411106,46.61704973846599,191.01463528105722,196.03826764136423,192.25578471169214,212.60908724716973,390.2892604074361,402.73135202485764,491.68881346456675,412.21033088958654,289.8510991649467,316.68331438826954,32.6166795334377,16.396013700553937,320.2012901083862,304.5452787213509,284.40879601789095,209.52003969144718,233.6576052115492,226.95161679223565,309.5457334212611,204.53614269638996,102.21196978440469,10.242801684467693,58.55478119017392,44.75762165811305,50.628747874315295,33.92587298357239,49.70026772092574,52.920728922374536,48.04384167129536,53.14396257070194,43.057867965119094,55.57643866850954,46.51942011917653,1.7010435471603595,37.401310311546375,22.33324869021275,13.293720693316493,26.383874621720178,24.882376096379325,25.817609856076583,35.45301592929195,42.85023351246772,112.01513937296717,46.67936860181536,44.531142121845576,1.0713024950575343,28.643619162315762,20.120627130026996,10.653730809026555,20.019067824442786,15.568615581204334,21.991133287961876,44.880908786903824,65.60619304732957,88.66889963124868,62.59967175309061,69.4035464778095,7.282809455376951,43.16699449797985,19.03995013352074,22.720362687929715,25.62208245643884,23.779624718413405,42.37471526020849,73.17904329195875,94.18582988830453,133.8594626538073,110.62419031989369,111.75233014998425,38.69136021324695,46.70637723718188,33.10207012127482,30.276991484860066,30.986140778880813,23.918307226994905,35.443428443104985,98.73664080749802,106.7167529175287,133.26970533779365,108.37629116539895,70.28795312961644,93.75389657938815,46.608965853750114,33.626992087039774,184.84142963647068,201.59015521142462,216.28637768100086,259.69679606153994,414.58711207423056,455.8954800858424,536.3421155022903,463.67763330115406,257.9554470093182,291.54401318790485,128.25866005373953,112.01225765441622,331.79664439610235,363.50893403933986,474.58318055762817,517.9002658556437,607.8185060095126,600.9865366182186,687.1125093778153,633.8121827750125,587.7143922405202,,,,,,,,,,,,
