,index,plotcode,longitude_generalised,latitude_generalised,surveydate1,surveydate2,wai,sgdd,year1,year2,indexField,0_VHAsc,0_VVAsc,10_VHAsc,10_VVAsc,11_VHAsc,11_VVAsc,1_VHAsc,1_VVAsc,2_VHAsc,2_VVAsc,3_VHAsc,3_VVAsc,4_VHAsc,4_VVAsc,5_VHAsc,5_VVAsc,6_VHAsc,6_VVAsc,7_VHAsc,7_VVAsc,8_VHAsc,8_VVAsc,9_VHAsc,9_VVAsc,0_VHDes,0_VVDes,10_VHDes,10_VVDes,11_VHDes,11_VVDes,1_VHDes,1_VVDes,2_VHDes,2_VVDes,3_VHDes,3_VVDes,4_VHDes,4_VVDes,5_VHDes,5_VVDes,6_VHDes,6_VVDes,7_VHDes,7_VVDes,8_VHDes,8_VVDes,9_VHDes,9_VVDes
0,0,1013901,24.1602326383978,67.0164661885414,1986-09-11,1995-08-02,0.183627785414202,738.609166666667,1986,1995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1013903,24.1488494570158,67.0054218254972,1986-09-11,1995-08-02,0.183627785414202,738.609166666667,1986,1995,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1014301,24.8813102085421,67.0411937799842,1986-09-12,1995-08-11,0.170471289829722,733.673333333333,1986,1995,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1014302,24.8923257088473,67.051180229725,1986-09-12,1995-08-11,0.170471289829722,733.673333333333,1986,1995,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1014701,25.5995313409067,67.031001716209,1986-06-28,1995-08-08,0.223180320844017,690.852083333333,1986,1995,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1014702,25.6246834708474,67.0540931449452,1986-06-28,1995-08-08,0.223180320844017,690.852083333333,1986,1995,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,1014703,25.6161060435421,67.042120414534,1986-06-28,1995-08-08,0.223180320844017,690.852083333333,1986,1995,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,1015901,27.8245883749273,67.0459761992231,1986-09-03,1995-07-29,0.324519689493413,732.42875,1986,1995,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,1015902,27.8386170730773,67.0366748913978,1986-09-03,1995-07-29,0.324519689493413,732.42875,1986,1995,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,1016301,28.5493797926651,67.022104427528,1986-08-19,1995-07-21,0.416700004145564,681.481666666667,1986,1995,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,1016302,28.5605364793958,67.0516448372346,1986-08-19,1995-07-21,0.416700004145564,681.481666666667,1986,1995,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,1016303,28.5710515184375,67.0562966618896,1986-08-19,1995-07-21,0.416700004145564,681.481666666667,1986,1995,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,1044101,24.5035117377672,67.2562587036028,1986-07-01,1995-06-14,0.235490697890187,675.171666666667,1986,1995,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,1044102,24.4777222257532,67.2260413632843,1986-07-01,1995-06-14,0.235490697890187,675.171666666667,1986,1995,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,1044103,24.4790905683447,67.2263035068776,1986-07-01,1995-06-14,0.235490697890187,675.171666666667,1986,1995,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,1044501,25.2502319056071,67.2592458216817,1986-08-27,1995-06-16,0.178318262718467,701.795833333333,1986,1995,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,1044502,25.2506840190008,67.2528561838222,1986-08-27,1995-06-16,0.178318262718467,701.795833333333,1986,1995,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,1044503,25.2459165356584,67.2397492616968,1986-08-27,1995-06-16,0.178318262718467,701.795833333333,1986,1995,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1044901,25.9726720757375,67.2578224289366,1986-08-25,1995-07-03,0.211865320082275,670.3025,1986,1995,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,1044903,25.9706725204794,67.2457843679976,1986-08-25,1995-07-03,0.211865320082275,670.3025,1986,1995,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,1045301,26.7320704026815,67.2724215705171,1986-07-01,1995-07-04,0.255256354868958,695.19375,1986,1995,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,1045302,26.7179979534463,67.2827496035248,1986-07-01,1995-07-04,0.255256354868958,695.19375,1986,1995,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,1045701,27.4793383172199,67.2836900662925,1986-09-04,1995-07-28,0.272519670677568,711.9425,1986,1995,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,1045703,27.461023479006,67.2738366717022,1986-09-04,1995-07-28,0.272519670677568,711.9425,1986,1995,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1046101,28.1912685371896,67.2737968793583,1986-08-18,1995-07-26,0.398821382896549,703.750416666667,1986,1995,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,1046501,28.9547505097275,67.2613306815367,1986-08-13,1995-07-25,0.474559938731457,625.40875,1986,1995,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,1046502,28.951715839505,67.2344128425609,1986-08-13,1995-07-25,0.474559938731457,625.40875,1986,1995,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,1046503,28.9538189881759,67.2492919988188,1986-08-13,1995-07-25,0.474559938731457,625.40875,1986,1995,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,1074301,24.835744917714,67.471404426552,1986-08-20,1995-06-13,0.221569347537164,682.674166666667,1986,1995,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,1074302,24.864164428045,67.4559728223529,1986-08-20,1995-06-13,0.221569347537164,682.674166666667,1986,1995,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,1074303,24.8521194427134,67.4849095017627,1986-08-20,1995-06-13,0.221569347537164,682.674166666667,1986,1995,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,1074702,25.6080267124975,67.4658664921124,1986-08-24,1995-06-14,0.136356524949993,675.35125,1986,1995,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,1074703,25.6097083289808,67.4659346516256,1986-08-24,1995-06-14,0.136356524949993,675.35125,1986,1995,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
